date,cases,deaths,recovered
2020-01-22,557,17,30
2020-01-23,657,18,32
2020-01-24,944,26,39
2020-01-25,1437,42,42
2020-01-26,2120,56,56
2020-01-27,2929,82,65
2020-01-28,5580,131,108
2020-01-29,6169,133,127
2020-01-30,8237,172,145
2020-01-31,9927,214,225
2020-02-01,12038,260,287
2020-02-02,16787,364,476
2020-02-03,19887,428,627
2020-02-04,23899,494,857
2020-02-05,27644,566,1130
2020-02-06,30806,636,1493
2020-02-07,34400,721,2016
2020-02-08,37131,808,2617
2020-02-09,40162,908,3247
2020-02-10,42771,1015,3949
2020-02-11,44814,1115,4684
2020-02-12,45232,1120,5151
2020-02-13,60384,1373,6294
2020-02-14,66912,1525,8061
2020-02-15,69055,1668,9397
2020-02-16,71238,1772,10867
2020-02-17,73273,1870,12587
2020-02-18,75155,2010,14352
2020-02-19,75655,2125,16123
2020-02-20,76216,2250,18181
2020-02-21,76846,2254,18894
2020-02-22,78608,2462,22892
2020-02-23,78990,2473,23397
2020-02-24,79558,2633,25229
2020-02-25,80412,2713,27907
2020-02-26,81384,2774,30388
2020-02-27,82728,2817,33282
2020-02-28,84152,2876,36714
2020-02-29,86023,2946,39785
2020-03-01,88402,3000,42721
2020-03-02,90382,3090,45605
2020-03-03,92994,3164,48227
2020-03-04,95338,3260,51170
2020-03-05,98078,3355,53796
2020-03-06,102062,3469,55864
2020-03-07,106199,3573,58358
2020-03-08,109997,3815,60695
2020-03-09,114292,4009,62495
2020-03-10,119051,4284,64402
2020-03-11,126527,4636,66999
2020-03-12,133283,4957,68328
2020-03-13,146477,5460,70255
2020-03-14,157365,5886,72622
2020-03-15,168598,6557,76031
2020-03-16,183165,7268,78086
2020-03-17,198339,8119,80830
2020-03-18,215900,9075,83317
2020-03-19,242987,10217,84958
2020-03-20,272517,11791,87403
2020-03-21,304944,13599,91650
2020-03-22,339156,15427,97867
2020-03-23,381711,17523,98355
2020-03-24,423594,19949,107974
2020-03-25,475075,22920,113753
2020-03-26,535889,26173,122125
2020-03-27,599820,29812,130910
2020-03-28,669402,33861,139421
2020-03-29,725918,37680,148877
2020-03-30,790929,42050,164213
2020-03-31,869371,47218,177803
2020-04-01,955728,53862,193075
2020-04-02,1038176,60115,210218
2020-04-03,1122386,66617,225640
2020-04-04,1182507,72976,246052
2020-04-05,1254222,78897,259888
2020-04-06,1328948,85324,276597
2020-04-07,1397886,93841,299859
2020-04-08,1480062,101061,328741
2020-04-09,1567243,109216,353995
2020-04-10,1653665,116957,375733
2020-04-11,1729180,123939,401983
2020-04-12,1847761,130453,421366
2020-04-13,1919593,136966,448623
2020-04-14,2004226,144323,473697
2020-04-15,2082482,153088,510236
2020-04-16,2176950,160800,541119
2020-04-17,2264830,169688,567303
2020-04-18,2343082,176118,591169
2020-04-19,2419404,182219,622952
2020-04-20,2495886,188730,645130
2020-04-21,2571973,195926,679932
2020-04-22,2654011,203205,710017
2020-04-23,2736728,210475,738747
2020-04-24,2820291,217313,788776
2020-04-25,2903496,223363,816531
2020-04-26,2974291,228179,845343
2020-04-27,3045275,233624,873227
2020-04-28,3121107,240253,906439
2020-04-29,3198435,247233,948516
2020-04-30,3282087,253486,1013632
2020-05-01,3371033,259073,1051789
2020-05-02,3449295,265119,1092440
2020-05-03,3523292,269394,1124973
2020-05-04,3600929,274239,1159059
2020-05-05,3680614,280386,1195532
2020-05-06,3771036,287146,1241651
2020-05-07,3860174,293012,1281176
2020-05-08,3950657,298967,1317589
2020-05-09,4035000,303885,1371030
2020-05-10,4110223,308223,1404839
2020-05-11,4186364,312301,1451724
2020-05-12,4271644,318031,1488766
2020-05-13,4355992,323468,1544638
2020-05-14,4451634,329217,1584349
2020-05-15,4547536,334970,1632452
2020-05-16,4641426,339511,1688863
2020-05-17,4719789,343391,1729871
2020-05-18,4808921,347786,1782787
2020-05-19,4904739,352754,1834839
2020-05-20,5010162,358160,1893809
2020-05-21,5116135,363195,1945029
2020-05-22,5223477,368901,2053576
2020-05-23,5327627,373355,2108410
2020-05-24,5420843,376755,2163937
2020-05-25,5509066,378449,2227666
2020-05-26,5601428,383229,2282818
2020-05-27,5703984,388449,2346145
2020-05-28,5823977,393440,2413008
2020-05-29,5945413,398596,2490273
2020-05-30,6080456,402955,2560723
2020-05-31,6183316,406242,2637107
2020-06-01,6283580,409983,2692032
2020-06-02,6406221,415254,2796144
2020-06-03,6517437,420875,2875235
2020-06-04,6655667,426403,2945305
2020-06-05,6789073,431460,3014470
2020-06-06,6918403,435600,3086674
2020-06-07,7029415,438857,3141783
2020-06-08,7132463,443312,3293394
2020-06-09,7258445,448357,3375664
2020-06-10,7395607,453783,3454835
2020-06-11,7531793,458920,3540714
2020-06-12,7659267,463663,3620434
2020-06-13,7793175,468056,3706326
2020-06-14,7925122,471838,3777145
2020-06-15,8050034,475905,3857420
2020-06-16,8193933,483023,3955283
2020-06-17,8337135,488500,4074114
2020-06-18,8480229,493854,4155277
2020-06-19,8661225,500212,4250267
2020-06-20,8847108,504694,4366121
2020-06-21,8940170,509338,4434807
2020-06-22,9082502,513205,4526440
2020-06-23,9250625,518774,4630495
2020-06-24,9422061,524272,4746246
2020-06-25,9601576,529382,4839130
2020-06-26,9794066,534465,4945110
2020-06-27,9970478,539201,5051396
2020-06-28,10138935,542822,5140599
2020-06-29,10291617,546894,5235170
2020-06-30,10475388,552146,5352510
2020-07-01,10690516,557487,5468424
2020-07-02,10895486,563001,5753358
2020-07-03,11098124,568241,5863246
2020-07-04,11287838,573035,6059006
2020-07-05,11474058,576880,6178369
2020-07-06,11642331,581148,6302068
2020-07-07,11851900,587508,6447101
2020-07-08,12067186,593137,6605157
2020-07-09,12291782,598986,6739775
2020-07-10,12524663,604728,6879221
2020-07-11,12737483,609869,7004913
2020-07-12,12930415,614171,7116749
2020-07-13,13124893,618607,7257072
2020-07-14,13345920,624592,7399324
2020-07-15,13575706,630511,7559130
2020-07-16,13820618,636673,7711615
2020-07-17,14058038,643711,7895036
2020-07-18,14293379,650241,8045823
2020-07-19,14505270,655135,8133881
2020-07-20,14713414,659101,8293009
2020-07-21,14956435,665439,8467705
2020-07-22,15231791,672857,8647437
2020-07-23,15511422,679494,8823667
2020-07-24,15794928,685956,9051967
2020-07-25,16044485,692021,9271779
2020-07-26,16256294,696430,9415080
2020-07-27,16490680,701726,9586463
2020-07-28,16754567,708664,9756921
